,timestamp,hashtags,tweets,replies,retweets,likes,username,location,friends,followers,verified,all_hashtags,all_hashtags_seg,tweets_prep,tweets_clean,label
145,2020-09-29 22:04:56,peace,#Armenia #Artsakh #NagornoKarabakh #war #Peace #OSCE #ՀԱՂԹԵԼՈՒԵՆՔ #ArmeniaStrong,,,,Zamazingo_CSGO,,721,176,0,Armenia Artsakh NagornoKarabakh war Peace OSCE ՀԱՂԹԵԼՈՒԵՆՔ ArmeniaStrong,armenia artsakh nagorno karabakh war peace osce armenia strong,       ,       ,Azerbaijan_Armenia
146,2020-09-29 22:02:46,peace,#Azerbaijan deliberately targets #Artsakh schools and kindergartens. #StopAzerbaijaniAggression #HumanRight #Peace #Children,1.0,,,Ani_Soghoyan1,,49,52,0,Azerbaijan Artsakh StopAzerbaijaniAggression HumanRight Peace Children,azerbaijan artsakh stop azerbaijani aggression human right peace children, deliberately targets  schools and kindergartens.    , deliberately targets  schools and kindergartens    ,Azerbaijan_Armenia
149,2020-09-29 21:59:30,peace,#Azerbaijani President #Ilham #Aliev accidentally admits that they initiated the clashes in #Nagorno #Karabakh with a clear problem.#StopAzerbaijaniAggression #stopwar #Peace #Armenia #Artsakh #ՀԱՂԹԵԼՈՒԵՆՔ,,,,Ani_Soghoyan1,,49,52,0,Azerbaijani Ilham Aliev Nagorno Karabakh StopAzerbaijaniAggression stopwar Peace Armenia Artsakh ՀԱՂԹԵԼՈՒԵՆՔ,azerbaijani ilham aliev nagorno karabakh stop azerbaijani aggression stop war peace armenia artsakh, President   accidentally admits that they initiated the clashes in   with a clear problem.     , President   accidentally admits that they initiated the clashes in   with a clear problem     ,Azerbaijan_Armenia
154,2020-09-29 21:42:47,peace,"@realDonaldTrump If you want the #Armenian vote, stop the assault on Armenians by Azerbaijan and it’s allies Turkey and Pakistan. Don’t let them to turn our land to a new Syria or Afghanistan. Stop the war!  #Armenia #Artsakh #armeniaazerbaijan #peace #StopTheAttacks #stopthewar",,,,Oshin76,,51,49,0,Armenian Armenia Artsakh armeniaazerbaijan peace StopTheAttacks stopthewar,armenian armenia artsakh armenia azerbaijan peace stop the attacks stop the war," If you want the  vote, stop the assault on Armenians by Azerbaijan and it’s allies Turkey and Pakistan. Don’t let them to turn our land to a new Syria or Afghanistan. Stop the war!       ", If you want the  vote stop the assault on Armenians by Azerbaijan and it’s allies Turkey and Pakistan Don’t let them to turn our land to a new Syria or Afghanistan Stop the war       ,Azerbaijan_Armenia
155,2020-09-29 21:37:31,peace,The independence of #Artsakh and the security of the people there are not negotiable. The people of Artsakh have the right to live in #peace. #StopAzerbaijaniAggression #ArtsakhStrong,,,1.0,marin_margarian,,155,113,0,Artsakh peace StopAzerbaijaniAggression ArtsakhStrong,artsakh peace stop azerbaijani aggression artsakh strong,The independence of  and the security of the people there are not negotiable. The people of Artsakh have the right to live in .  ,The independence of  and the security of the people there are not negotiable The people of Artsakh have the right to live in   ,Azerbaijan_Armenia
157,2020-09-29 21:28:31,peace,#StopErdogan #Peace,,,,HasmikKaramyan,Armenia,56,21,0,StopErdogan Peace,stop erdogan peace, , ,Turkey
177,2020-09-29 20:37:03,peace,"Thanks @sidhant 
#IndiaStandWithArmenia 
We will not permit second genocide in the 21st century. We are fighting for humanity and #peace.",1.0,4.0,18.0,MkoyanNina,,163,71,0,IndiaStandWithArmenia peace,india stand with armenia peace,Thanks   We will not permit second genocide in the st century. We are fighting for humanity and .,Thanks   We will not permit second genocide in the st century We are fighting for humanity and ,Azerbaijan_Armenia
179,2020-09-29 20:30:15,peace,#Peace #Artsak #Azerbaijaniaggression #ArtsakhIsArmenia,,,1.0,Ruzan14080369,,56,26,0,Peace Artsak Azerbaijaniaggression ArtsakhIsArmenia,peace arts ak azerbaijani aggression artsakh is armenia,   ,   ,Azerbaijan_Armenia
187,2020-09-29 20:23:51,peace,Have you heard ‘Like The Devil I Told You’ by Mark on #SoundCloud? #np https://soundcloud.com/dearmarkbyrne/like-the-devil-i-told-you… #newmusic #music #bbcintroducing #usa #cali #japan '#r #share #TuesdayMotivation #tuesdayvibes #londonislovinit #peace #love #thesmiths #rem #playlist #synth #covid #lockdown #playlist,,,1.0,MarkyByrne,,286,364,0,SoundCloud np newmusic music bbcintroducing usa cali japan r share TuesdayMotivation tuesdayvibes londonislovinit peace love thesmiths rem playlist synth covid lockdown playlist,sound cloud np new music music bbc introducing usa cali japan r share tuesday motivation tuesday vibes london is lovin it peace love the smiths rem playlist synth co vid lockdown playlist,Have you heard ‘Like The Devil I Told You’ by Mark on ?  …       '             ,Have you heard ‘Like The Devil I Told You’ by Mark on   …                    ,USA
195,2020-09-29 20:01:02,peace,Suggestion for @realDonaldTrump bring it and show everyone Donald the New Yorker liberterian from past interviews. Nail the ultra wealthy on tax havens!  #uspoli #fact #Debates2020 #hope #peace @GOP #trump #Equality,1.0,,,AxPurpleSpirit,,585,485,0,uspoli fact Debates2020 hope peace trump Equality,uspolifactdebates2020 hope peace trump equality,Suggestion for  bring it and show everyone Donald the New Yorker liberterian from past interviews. Nail the ultra wealthy on tax havens!         ,Suggestion for  bring it and show everyone Donald the New Yorker liberterian from past interviews Nail the ultra wealthy on tax havens         ,USA
200,2020-09-30 23:53:13,peace,"To all of us. #wearamask #safedistancing #covid_19 #virus #family #healthcare #respect #peace #28days #canada #usa @ Toronto, Ontario https://instagram.com/p/CFx6IYhn4Pn/?igshid=1p2vhf9a8n1jj…",,1.0,1.0,jimhuntofficial,"Toronto,Ontario,Canada",743,488,0,wearamask safedistancing covid_19 virus family healthcare respect peace 28days canada usa,wear a mask safe distancing covid19 virus family health care respect peace 28 days canada usa,"To all of us.            @ Toronto, Ontario …",To all of us             Toronto Ontario …,USA
210,2020-09-30 23:22:51,peace,"He was also a NEVER a KKK Grand Wizard 

Learn the history before you twist it

#TrumpIsARacist #Debates2020 #Peace",1.0,,1.0,jesterpennywise,England,288,"1,872",0,TrumpIsARacist Debates2020 Peace,trump is a racist debates 2020 peace,He was also a NEVER a KKK Grand Wizard Learn the history before you twist it  ,He was also a NEVER a KKK Grand Wizard Learn the history before you twist it  ,USA
224,2020-09-30 22:27:35,peace,"Բարի ու խաղաղ Գիշեր 
#Armenie 
#ArtsakhStrong 
#stopaggression 
#Peace",1.0,,,Qristin_Kristin,France,111,97,0,Armenie ArtsakhStrong stopaggression Peace,armen ie artsakh strong stop aggression peace,Բարի ու խաղաղ Գիշեր    ,Բարի ու խաղաղ Գիշեր    ,Azerbaijan_Armenia
227,2020-09-30 22:19:56,peace,"#love and #peace v1.02/9

#bible #catholic #catholics #catholicsfortrump #catholicchurch #christian #christianity #church #evangelical #evangelicals #faith #god #italia #italy #jesus #jesuschrist #pope #pray #roma #romancatholic #rome #romeitaly #vatican #vaticancity #vaticano",,,1.0,2uk050kk4,,25,3,0,love peace bible catholic catholics catholicsfortrump catholicchurch christian christianity church evangelical evangelicals faith god italia italy jesus jesuschrist pope pray roma romancatholic rome romeitaly vatican vaticancity vaticano,love peace bible catholic catholics catholics for trump catholic church christian christianity church evangelical evangelicals faith god italia italy jesus jesus christ pope pray roma roman catholic rome rome italy vatican vatican city vaticano, and  v./                        , and  v                        ,USA
228,2020-09-30 22:18:23,peace,"#love and #peace v1.05/9

#bible #catholic #catholics #catholicsfortrump #catholicchurch #christian #christianity #church #evangelical #evangelicals #faith #god #italia #italy #jesus #jesuschrist #pope #pray #roma #romancatholic #rome #romeitaly #vatican #vaticancity #vaticano",,,,2uk050kk4,,25,3,0,love peace bible catholic catholics catholicsfortrump catholicchurch christian christianity church evangelical evangelicals faith god italia italy jesus jesuschrist pope pray roma romancatholic rome romeitaly vatican vaticancity vaticano,love peace bible catholic catholics catholics for trump catholic church christian christianity church evangelical evangelicals faith god italia italy jesus jesus christ pope pray roma roman catholic rome rome italy vatican vatican city vaticano, and  v./                        , and  v                        ,USA
229,2020-09-30 22:17:11,peace,"#love and #peace v1.07/9

#bible #catholic #catholics #catholicsfortrump #catholicchurch #christian #christianity #church #evangelical #evangelicals #faith #god #italia #italy #jesus #jesuschrist #pope #pray #roma #romancatholic #rome #romeitaly #vatican #vaticancity #vaticano",,,,2uk050kk4,,25,3,0,love peace bible catholic catholics catholicsfortrump catholicchurch christian christianity church evangelical evangelicals faith god italia italy jesus jesuschrist pope pray roma romancatholic rome romeitaly vatican vaticancity vaticano,love peace bible catholic catholics catholics for trump catholic church christian christianity church evangelical evangelicals faith god italia italy jesus jesus christ pope pray roma roman catholic rome rome italy vatican vatican city vaticano, and  v./                        , and  v                        ,USA
230,2020-09-30 22:16:33,peace,"#love and #peace v1.08/9

#bible #catholic #catholics #catholicsfortrump #catholicchurch #christian #christianity #church #evangelical #evangelicals #faith #god #italia #italy #jesus #jesuschrist #pope #pray #roma #romancatholic #rome #romeitaly #vatican #vaticancity #vaticano",,,,2uk050kk4,,25,3,0,love peace bible catholic catholics catholicsfortrump catholicchurch christian christianity church evangelical evangelicals faith god italia italy jesus jesuschrist pope pray roma romancatholic rome romeitaly vatican vaticancity vaticano,love peace bible catholic catholics catholics for trump catholic church christian christianity church evangelical evangelicals faith god italia italy jesus jesus christ pope pray roma roman catholic rome rome italy vatican vatican city vaticano, and  v./                        , and  v                        ,USA
231,2020-09-30 22:15:57,peace,"#love and #peace v1.09/9

#bible #catholic #catholics #catholicsfortrump #catholicchurch #christian #christianity #church #evangelical #evangelicals #faith #god #italia #italy #jesus #jesuschrist #pope #pray #roma #romancatholic #rome #romeitaly #vatican #vaticancity #vaticano",,,,2uk050kk4,,25,3,0,love peace bible catholic catholics catholicsfortrump catholicchurch christian christianity church evangelical evangelicals faith god italia italy jesus jesuschrist pope pray roma romancatholic rome romeitaly vatican vaticancity vaticano,love peace bible catholic catholics catholics for trump catholic church christian christianity church evangelical evangelicals faith god italia italy jesus jesus christ pope pray roma roman catholic rome rome italy vatican vatican city vaticano, and  v./                        , and  v                        ,USA
236,2020-09-30 22:10:07,peace,#ArtsakhStrong #StopAzerbaijaniAggression #DefendArmenia #StopAliyev #StopErdogan #StopTurkey #DefendArtsakh #World #Peace,,1.0,2.0,Karen16001,Armenia,194,408,0,ArtsakhStrong StopAzerbaijaniAggression DefendArmenia StopAliyev StopErdogan StopTurkey DefendArtsakh World Peace,artsakh strong stop azerbaijani aggression defend armenia stop aliyev stop erdogan stop turkey defend artsakh world peace,        ,        ,Azerbaijan_Armenia
245,2020-09-30 21:53:10,peace,"In war, as in love, one's spirit weighs much heavier than the body.

© Mher Arshakyan
#Armenia
#poetry
#peace
#ArtsakhStrong
#love",,,,Ofa28771010,Armenia,251,60,0,Armenia poetry peace ArtsakhStrong love,armenia poetry peace artsakh strong love,"In war, as in love, one's spirit weighs much heavier than the body.© Mher Arshakyan",In war as in love ones spirit weighs much heavier than the body© Mher Arshakyan,Azerbaijan_Armenia
254,2020-09-30 21:26:12,peace,"#racism will never end because #hate #generates and controls on both sides of #racism. I've seen just as many intolerable victimized crimes from every group out their seeking #equality, #peace, #justice and a #stop to #racisms #USA  #StopBeingTheIgnorantParticipants #USA",,,1.0,Webinfotech,United States,"1,568",274,0,racism hate generates racism equality peace justice stop racisms USA StopBeingTheIgnorantParticipants USA,racism hate generates racism equality peace justice stop racism susa stop being the ignorant participants usa," will never end because   and controls on both sides of . I've seen just as many intolerable victimized crimes from every group out their seeking , ,  and a  to     ", will never end because   and controls on both sides of  Ive seen just as many intolerable victimized crimes from every group out their seeking    and a  to     ,USA
259,2020-09-30 21:13:18,peace,"Serve for #Love ; #Humanity,
that bring #Humans, #Kindness ;amp; #Peace!
@Bijan_Cyrus

#Quote #IAMLOVE #Mindset #Mindfulness #COVID19 #NobelPeacePrize #leadership #Management #Motivation #Goldenhearts #SuccessTRAIN #JoyTrain #StarfishClub #LOVETRAINFROMIRAN #IRAN #IRANIAN",,3.0,2.0,Bijan_Cyrus,The World Of Love & Kindness.,"2,356","2,745",0,Love Humanity Humans Kindness Peace Quote IAMLOVE Mindset Mindfulness COVID19 NobelPeacePrize leadership Management Motivation Goldenhearts SuccessTRAIN JoyTrain StarfishClub LOVETRAINFROMIRAN IRAN IRANIAN,love humanity humans kindness peace quote i am love mindset mindfulness covid19nobel peace prize leadership management motivation golden hearts success train joy train starfish club love train from iran iran iranian,"Serve for  ; ,that bring ,  ;amp; !               ",Serve for   that bring   amp                ,covid
260,2020-09-30 21:07:40,peace,"#StopAliyev because there's the alternative of #peace in #Azerbaijan.
Let's stop the #AzerbaijaniAggression  together.
#SavasaHayır #StopAzerbaijaniAgression",,,,NatanBedrossian,,"1,060",403,0,StopAliyev peace Azerbaijan AzerbaijaniAggression SavasaHayır StopAzerbaijaniAgression,stop aliyev peace azerbaijan azerbaijani aggression savas aha yrs top azerbaijani agression, because there's the alternative of  in .Let's stop the   together. , because theres the alternative of  in Lets stop the   together ,Azerbaijan_Armenia
271,2020-09-30 20:42:44,peace,"The developed world is responsible for its silence!!
And you will be punished by God!!
Just for your information!
I pray every night to God to see the world without turks and terrorists!!
#Peace 
#StrongArmenia",,,1.0,GoharMatevosyan,Armenia,107,39,0,Peace StrongArmenia,peace strong armenia,The developed world is responsible for its silence!!And you will be punished by God!!Just for your information!I pray every night to God to see the world without turks and terrorists!! ,The developed world is responsible for its silenceAnd you will be punished by GodJust for your informationI pray every night to God to see the world without turks and terrorists ,Azerbaijan_Armenia
272,2020-09-30 20:39:43,peace,"Actually #Iran is also one of the addressees of this #war ; they should be also interested in the military  operations in the region, which were well prepared long before by #Azerbaijan and #Turkey.

#warintheregion #Armenia #Artsakh
#peace #WeWillWin #NoOtherAlternative",,1.0,,AnnaKostanyanMP,,68,58,0,Iran war Azerbaijan Turkey warintheregion Armenia Artsakh peace WeWillWin NoOtherAlternative,iran war azerbaijan turkey war in the region armenia artsakh peace we will win no other alternative,"Actually  is also one of the addressees of this  ; they should be also interested in the military  operations in the region, which were well prepared long before by  and .    ",Actually  is also one of the addressees of this   they should be also interested in the military  operations in the region which were well prepared long before by  and     ,Azerbaijan_Armenia
274,2020-09-30 20:34:06,peace,For #International audience. #Armenia never shares wrong information. This is international channel with its independent opinion. Thanks #BBC for the truth #StopAzerbaijaniAggression #peace to our country,,2.0,2.0,Nina51012553,,162,88,0,International Armenia BBC StopAzerbaijaniAggression peace,international armenia bbc stop azerbaijani aggression peace,For  audience.  never shares wrong information. This is international channel with its independent opinion. Thanks  for the truth   to our country,For  audience  never shares wrong information This is international channel with its independent opinion Thanks  for the truth   to our country,Azerbaijan_Armenia
275,2020-09-30 20:32:40,peace,"#ArtsakhStrong
#peace
#Armenia",,1.0,2.0,tsovalize,,295,"1,021",0,ArtsakhStrong peace Armenia,artsakh strong peace armenia,,,Azerbaijan_Armenia
279,2020-09-30 20:15:06,peace,All you have to know about war in our country #StopAzerbaijaniAggresion #StopTurkishAggression #peace for our country,,2.0,,Nina51012553,,162,88,0,StopAzerbaijaniAggresion StopTurkishAggression peace,stop azerbaijani aggres ions top turkish aggression peace,All you have to know about war in our country    for our country,All you have to know about war in our country    for our country,Azerbaijan_Armenia
288,2020-09-30 19:39:45,peace,"@AP @thejointstaff Happy #Michaelmas. The #PatronSaint of the coming #UnitedKingdomOfAmerica - #NewJerusalem #ArchAngel #Michael (#Jesus) is celebrated with #Gabriel my #Heavenly self before #God made me #incarnate, #Raphael ; #Uriel. #Peace ; #Love to all who accept #Yahweh. 8ن",,,1.0,RealHRH_Richard,motto: fidelium et verum,29,61,0,Michaelmas PatronSaint UnitedKingdomOfAmerica NewJerusalem ArchAngel Michael Jesus Gabriel Heavenly God incarnate Raphael Uriel Peace Love Yahweh,michaelmas patron saint united kingdom of america new jerusalem archangel michael jesus gabriel heavenly god incarnate raphael uriel peace love yahweh,"  Happy . The  of the coming  -    () is celebrated with  my  self before  made me ,  ; .  ;  to all who accept . ن",  Happy  The  of the coming       is celebrated with  my  self before  made me        to all who accept  ن,USA
292,2020-09-30 19:27:01,peace,"We call it peace 

#Artsakh #Armenia #ArtsakhStrong #peace",,,3.0,Narruuk,"Armenia,Yerevan",437,435,0,Artsakh Armenia ArtsakhStrong peace,artsakh armenia artsakh strong peace,We call it peace    ,We call it peace    ,Azerbaijan_Armenia
